,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,LATITUDE,LONGITUDE,TRAUMA
928,GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR D/P APH,1420 S CENTRAL AVE,GLENDALE,CA,91204,(818) 502-1900,PSYCHIATRIC,OPEN,34.1280862,-118.2569564,NOT AVAILABLE
929,WHITE MEMORIAL MEDICAL CENTER D/P APH,1720 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,(323) 268-5000,PSYCHIATRIC,OPEN,34.0495414000001,-118.2173882,NOT AVAILABLE
930,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,ENCINO,CA,91436,(818) 995-5000,PSYCHIATRIC,OPEN,34.1574278000001,-118.4870017,NOT AVAILABLE
931,HENRY MAYO NEWHALL MEMORIAL HOSPITAL D/P APH,25727 MCBEAN PKWY,VALENCIA,CA,91355,(661) 255-8100,PSYCHIATRIC,OPEN,34.3988591,-118.5526337,LEVEL II
932,BELLFLOWER MEDICAL CENTER D/P APH,9542 ARTESIA BLVD,BELLFLOWER,CA,90706,(562) 925-8355,PSYCHIATRIC,OPEN,33.8743136000001,-118.1297319,NOT AVAILABLE
933,KECK HOSPITAL OF USC,1500 SAN PABLO ST,LOS ANGELES,CA,90033,(626) 665-1058,GENERAL ACUTE CARE,OPEN,34.06202984,-118.2013106,NOT AVAILABLE
934,MARINA DEL REY HOSPITAL D/P APH,4650 LINCOLN BLVD,MARINA DEL REY,CA,90292,(310) 823-8911,PSYCHIATRIC,OPEN,33.9821449,-118.4392262,NOT AVAILABLE
935,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,(213) 832-3311,PSYCHIATRIC,OPEN,33.7382583,-118.305098,NOT AVAILABLE
936,HUNTINGTON MEMORIAL HOSPITAL D/P APH,100 W CALIFORNIA BLVD,PASADENA,CA,91105,(626) 397-5000,PSYCHIATRIC,OPEN,34.1343853600001,-118.15298394,LEVEL II
937,GLENDORA HOSPITAL,150 W ROUTE 66,GLENDORA,CA,91740,(626) 852-5054,PSYCHIATRIC,OPEN,34.1274871300001,-117.86513794,NOT AVAILABLE
938,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,1011 BALDWIN PARK BLVD,BALDWIN PARK,CA,91706,(626) 851-6386,GENERAL ACUTE CARE,OPEN,34.06534422,-117.98569517,NOT AVAILABLE
939,VERDUGO HILLS HOSPITAL D/P APH,1812 VERDUGO BLVD,GLENDALE,CA,91208,(818) 790-7100,PSYCHIATRIC,OPEN,34.2047447800001,-118.21570392,NOT AVAILABLE
940,KINDRED HOSPITAL - SANTA ANA,1901 COLLEGE AVE,SANTA ANA,CA,92706,(714) 564-7800,GENERAL ACUTE CARE,OPEN,33.7621497000001,-117.89159475,NOT AVAILABLE
941,"SHERMAN OAKS HOSPITAL AND HEALTH CENTER, D/P APH",4929 VAN NUYS BLVD,SHERMAN OAKS,CA,91403,(818) 981-7111,PSYCHIATRIC,OPEN,34.1602807,-118.4495134,NOT AVAILABLE
942,MEMORIALCARE MILLER CHILDREN'S AND WOMEN'S HOSPITAL LONG BEACH,2801 ATLANTIC AVE,LONG BEACH,CA,90806,(562) 933-8002,CHILDREN,OPEN,33.80817455,-118.18545758,"LEVEL II ADULT, LEVEL II PEDIATRIC"
943,BROTMAN MEDICAL CENTER D/P CDRH,3828 DELMAS TER,CULVER CITY,CA,90232,(310) 836-7000,REHABILITATION,OPEN,34.02350241,-118.3970127,NOT AVAILABLE
944,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS - D/P APH,14850 ROSCOE BLVD,PANORAMA CITY,CA,91402,(818) 787-2222,PSYCHIATRIC,OPEN,34.2204145600001,-118.45666936,NOT AVAILABLE
945,ANIMAS SURGICAL HOSPITAL LLC,575 RIVERGATE LN,DURANGO,CO,81301,(970) 247-3537,GENERAL ACUTE CARE,OPEN,37.2490827300001,-107.87115236,NOT AVAILABLE
946,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,1100 CARSON AVE,LA JUNTA,CO,81050,(719) 383-6000,GENERAL ACUTE CARE,OPEN,37.97806683,-103.54957879,LEVEL IV
947,ASPEN VALLEY HOSPITAL,401 CASTLE CREEK RD,ASPEN,CO,81611,(970) 544-1261,GENERAL ACUTE CARE,OPEN,39.1903806500001,-106.8395395,LEVEL III
948,BANNER FORT COLLINS MEDICAL CENTER,4700 LADY MOON DR,FORT COLLINS,CO,80528,(970) 821-4000,GENERAL ACUTE CARE,OPEN,40.5211229600001,-105.00936069,NOT AVAILABLE
949,THE BEHAVIORAL HEALTH AND WELLNESS CTR AT TMCA,700 POTOMAC ST,AURORA,CO,80011,(303) 360-3125,PSYCHIATRIC,OPEN,39.7284112,-104.8270392,NOT AVAILABLE
950,CASTLE ROCK ADVENTIST HOSPITAL,2350 MEADOWS BLVD,CASTLE ROCK,CO,80109,(720) 455-2500,GENERAL ACUTE CARE,OPEN,39.4051195600001,-104.88456375,LEVEL III
951,CEDAR SPRINGS BEHAVIORAL HEALTH SYSTEM,2135 SOUTHGATE RD,COLORADO SPRINGS,CO,80906,(719) 633-4114,PSYCHIATRIC,OPEN,38.8023163400001,-104.8162352,NOT AVAILABLE
952,CENTENNIAL HOSPITAL A CAMPUS OF TMCA,14200 E ARAPAHOE RD,CENTENNIAL,CO,80112,(303) 699-3000,GENERAL ACUTE CARE,OPEN,39.59418272,-104.82378475,LEVEL IV
953,CENTENNIAL PEAKS HOSPITAL,2255 S 88TH ST,LOUISVILLE,CO,80027,(303) 673-9990,PSYCHIATRIC,OPEN,39.95191192,-105.14795153,NOT AVAILABLE
954,CENTURA HEALTH - AVISTA ADVENTIST HOSPITAL,100 HEALTH PARK DR,LOUISVILLE,CO,80027,(303) 673-1000,GENERAL ACUTE CARE,OPEN,39.9519092200001,-105.15178165,LEVEL III
955,CENTURA HEALTH - LITTLETON ADVENTIST HOSPITAL,7700 S BROADWAY,LITTLETON,CO,80122,(303) 730-8900,GENERAL ACUTE CARE,OPEN,39.57633122,-104.98607382,LEVEL II
956,CENTURA HEALTH - PENROSE - ST FRANCI,2222 NORTH NEVADA AVE,COLORADO SPRINGS,CO,80907,(719) 776-5000,GENERAL ACUTE CARE,OPEN,38.86520555,-104.82233834,LEVEL II
957,VA HOSPITAL,"2535 S DOWNING ST, SUITE 380",DENVER,CO,80210,(303) 778-5671,MILITARY,OPEN,39.6704232000001,-104.974143,NOT AVAILABLE
958,CENTURA HEALTH - ST ANTHONY HOSPITAL,11600 W 2ND PL,LAKEWOOD,CO,80228,(720) 321-0000,GENERAL ACUTE CARE,OPEN,39.7162090400001,-105.12928005,LEVEL I
959,CENTURA HEALTH - ST FRANCIS MEDICAL CENTER,6001 E WOODMEN RD,COLORADO SPRINGS,CO,80923,(719) 571-1000,GENERAL ACUTE CARE,OPEN,38.9386391100001,-104.717482,LEVEL III
960,CENTURA HEALTH - ST MARY CORWIN MEDICAL CENTER,1008 MINNEQUA AVE,PUEBLO,CO,81004,(719) 557-4000,GENERAL ACUTE CARE,OPEN,38.23380336,-104.62257768,LEVEL III
961,CENTURA HEALTH - ST THOMAS MORE HOSPITAL,1338 PHAY AVE,CANON CITY,CO,81212,(719) 285-2000,GENERAL ACUTE CARE,OPEN,38.45529191,-105.23094679,LEVEL IV
962,CHILDREN'S HOSPITAL COLORADO - SOUTH CAMPUS,1811 PLAZA DR,HIGHLANDS RANCH,CO,80129,(720) 478-1234,CHILDREN,OPEN,39.5573325,-105.01001289,NOT AVAILABLE
964,COBALT REHABILITATION HOSPITAL WESTMINSTER,6500 W 104TH AVE,WESTMINSTER,CO,80020,(817) 994-9575,REHABILITATION,OPEN,39.88763727,-105.06819796,NOT AVAILABLE
965,COLORADO CANYONS HOSPITAL AND MEDICAL CEN,300 W OTTLEY AVE,FRUITA,CO,81521,(970) 858-9871,GENERAL ACUTE CARE,OPEN,39.1636840400001,-108.73666511,LEVEL IV
966,COLORADO MENTAL HEALTH INSTITUTE AT FT LOGAN,3520 W OXFORD AVE,DENVER,CO,80236,(303) 866-7080,PSYCHIATRIC,OPEN,39.64106738,-105.03242738,NOT AVAILABLE
967,COLORADO MENTAL HEALTH INSTITUTE AT PUEBLO - PSYCH,1600 W 24TH ST,PUEBLO,CO,81003,(719) 546-4747,PSYCHIATRIC,OPEN,38.2889440500001,-104.63060299,NOT AVAILABLE
968,COLORADO PLAINS MEDICAL CENTER,1000 LINCOLN ST,FORT MORGAN,CO,80701,(970) 867-3391,GENERAL ACUTE CARE,OPEN,40.2600213800001,-103.79547935,LEVEL III
969,COMMUNITY HOSPITAL,2351 G RD,GRAND JUNCTION,CO,81505,(970) 644-3020,GENERAL ACUTE CARE,OPEN,39.10494171,-108.61518639,LEVEL III
970,CRAIG HOSPITAL,3425 S CLARKSON ST,ENGLEWOOD,CO,80113,(303) 789-8000,REHABILITATION,OPEN,39.6542872700001,-104.97858932,NOT AVAILABLE
971,DELTA COUNTY MEMORIAL HOSPITAL,1501 E 3RD ST,DELTA,CO,81416,(970) 874-7681,GENERAL ACUTE CARE,OPEN,38.7449646200001,-108.04701861,LEVEL IV
972,DENVER HEALTH MEDICAL CENTER,777 BANNOCK ST,DENVER,CO,80204,(303) 436-4927,GENERAL ACUTE CARE,OPEN,39.7282011400001,-104.99097511,LEVEL I
973,DENVER SPRINGS,8835 AMERICAN WY,ENGLEWOOD,CO,80112,(720) 643-4300,PSYCHIATRIC,OPEN,39.5567824400001,-104.82755155,NOT AVAILABLE
974,EAST MORGAN COUNTY HOSPITAL,2400 W EDISON ST,BRUSH,CO,80723,(970) 842-6222,GENERAL ACUTE CARE,OPEN,40.25589605,-103.64947821,LEVEL IV
975,EATING RECOVERY CENTER,8199 E 1ST AVE,DENVER,CO,80230,(303) 825-8584,PSYCHIATRIC,OPEN,39.7232211200001,-104.89201866,NOT AVAILABLE
976,EATING RECOVERY CENTER A BEHAVIORAL HOSPITAL,"1830 N FRANKLIN ST, SUITE 500",DENVER,CO,80218,(720) 258-4031,PSYCHIATRIC,OPEN,39.7455849200001,-104.96803105,NOT AVAILABLE
978,EATING RECOVERY CENTER BEHAVIORAL HEALTH,98 SPRUCE ST,DENVER,CO,80230,(720) 532-8700,PSYCHIATRIC,OPEN,39.7220527800001,-104.89433434,NOT AVAILABLE
979,EMORY JOHN BRADY HOSPITAL,401 SOUTHGATE RD,COLORADO SPRINGS,CO,80901,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,38.8012936700001,-104.81694722,NOT AVAILABLE
980,ENCOMPASS HEALTH REHAB HOSPITAL OF LITTLETON,1001 W MINERAL AVE,LITTLETON,CO,80120,(303) 334-1100,REHABILITATION,OPEN,39.57454183,-105.00009816,NOT AVAILABLE
981,ENCOMPASS HEALTH REHABILITATION HOSPITAL,325 PARKSIDE DR,COLORADO SPRINGS,CO,80910,(719) 630-8000,REHABILITATION,OPEN,38.8280758600001,-104.79146875,NOT AVAILABLE
982,ESTES PARK MEDICAL CENTER,555 PROSPECT AVE,ESTES PARK,CO,80517,(970) 577-4470,GENERAL ACUTE CARE,OPEN,40.37152286,-105.51511239,LEVEL IV
983,FOOTHILLS HOSPITAL,4747 ARAPAHOE AVE,BOULDER,CO,80303,(303) 415-7440,GENERAL ACUTE CARE,OPEN,40.01629753,-105.23625162,LEVEL II
984,GOOD SAMARITAN MEDICAL CENTER,200 EXEMPLA CIR,LAFAYETTE,CO,80026,(303) 689-4000,GENERAL ACUTE CARE,OPEN,39.9705351700001,-105.08655902,LEVEL II
985,GRAND RIVER MEDICAL CENTER,501 AIRPORT RD,RIFLE,CO,81650,(970) 625-1510,GENERAL ACUTE CARE,OPEN,39.52123318,-107.77017877,LEVEL IV
986,GUNNISON VALLEY HOSPITAL,711 N TAYLOR ST,GUNNISON,CO,81230,(970) 641-1456,GENERAL ACUTE CARE,OPEN,38.5513953600001,-106.92474584,LEVEL IV
987,HAXTUN HOSPITAL DISTRICT,235 W FLETCHER ST,HAXTUN,CO,80731,(970) 774-6123,GENERAL ACUTE CARE,OPEN,40.6417925000001,-102.63139823,LEVEL IV
988,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,1000 RUSH DR,SALIDA,CO,81201,(719) 530-2200,GENERAL ACUTE CARE,OPEN,38.5432124100001,-106.00884678,LEVEL IV
989,HIGHLANDS BEHAVIORAL HEALTH SYSTEM,8565 S POPLAR WAY,LITTLETON,CO,80130,(720) 348-2801,PSYCHIATRIC,OPEN,39.5627578,-104.90767313,NOT AVAILABLE
990,HILL TOP HOSPITAL,"700 N A ST, PO BOX 397",CRIPPLE CREEK,CO,80813,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,38.7531342,-105.1822323,NOT AVAILABLE
991,JOHNSTOWN HEIGHTS BEHAVIORAL HEALTH LLC,4770 LARIMER PKWY,JOHNSTOWN,CO,80534,(719) 216-6232,PSYCHIATRIC,OPEN,40.4043987000001,-104.97508863,NOT AVAILABLE
992,KEEFE MEMORIAL HOSPITAL,602 N 6TH ST W,CHEYENNE WELLS,CO,80810,(719) 767-5661,GENERAL ACUTE CARE,OPEN,38.8257277800001,-102.35501131,LEVEL IV
994,KINDRED HOSPITAL AURORA,"700 POTOMAC ST, FL 2",AURORA,CO,80011,(720) 857-8333,GENERAL ACUTE CARE,OPEN,39.72813068,-104.82697382,NOT AVAILABLE
995,KINDRED HOSPITAL - DENVER,1920 N HIGH ST,DENVER,CO,80218,(303) 320-5871,GENERAL ACUTE CARE,OPEN,39.746336,-104.964522,NOT AVAILABLE
996,KIT CARSON COUNTY MEMORIAL HOSPITAL,286 16TH ST,BURLINGTON,CO,80807,(719) 346-5311,GENERAL ACUTE CARE,OPEN,39.3031960000001,-102.270492,LEVEL IV
997,LINCOLN HEALTH HOSPITAL,111 6TH ST,HUGO,CO,80821,(719) 743-2421,GENERAL ACUTE CARE,OPEN,39.13843589,-103.4737372,LEVEL IV
998,LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVE,LONGMONT,CO,80501,(303) 651-5111,GENERAL ACUTE CARE,OPEN,40.1821357700001,-105.12665369,LEVEL III
999,LONGS PEAK HOSPITAL,1750 E KEN PRATT BLVD,LONGMONT,CO,80504,(720) 718-3005,GENERAL ACUTE CARE,OPEN,40.16185088,-105.05837006,LEVEL III
1000,LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,WHEAT RIDGE,CO,80033,(303) 425-4500,GENERAL ACUTE CARE,OPEN,39.76847264,-105.08992112,LEVEL II
1001,MCKEE MEDICAL CENTER,2000 BOISE AVE,LOVELAND,CO,80538,(970) 669-4640,GENERAL ACUTE CARE,OPEN,40.4129916800001,-105.05147836,LEVEL III
1002,THE MEDICAL CENTER OF AURORA,1501 S POTOMAC ST,AURORA,CO,80012,(303) 873-5511,GENERAL ACUTE CARE,OPEN,39.6900632800001,-104.83192087,LEVEL II
1003,MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVE,LOVELAND,CO,80538,(970) 624-2500,GENERAL ACUTE CARE,OPEN,40.41572467,-104.9973755,LEVEL II
1004,MELISSA MEMORIAL HOSPITAL,1001 E JOHNSON ST,HOLYOKE,CO,80734,(970) 854-2241,GENERAL ACUTE CARE,OPEN,40.57927084,-102.28990254,LEVEL IV
1005,THE MEMORIAL HOSPITAL,750 HOSPITAL LOOP,CRAIG,CO,81625,(970) 824-9411,CRITICAL ACCESS,OPEN,40.51849766,-107.58011974,LEVEL IV
1006,MERCY REGIONAL MEDICAL CENTER,1010 THREE SPRINGS BLVD,DURANGO,CO,81301,(970) 247-4311,GENERAL ACUTE CARE,OPEN,37.23602793,-107.82626845,LEVEL III
1007,MIDDLE PARK MEDICAL CENTER,214 S 4TH ST,KREMMLING,CO,80459,(970) 724-3442,GENERAL ACUTE CARE,OPEN,40.05697157,-106.39041389,LEVEL IV
1008,MIDDLE PARK MEDICAL CENTER - GRANBY,1000 GRANBY PARK DR S,GRANBY,CO,80446,(970) 724-3190,GENERAL ACUTE CARE,OPEN,40.075728,-105.925792,LEVEL IV
1009,MONTROSE MEMORIAL HOSPITAL,800 S 3RD ST,MONTROSE,CO,81401,(970) 249-2211,GENERAL ACUTE CARE,OPEN,38.48003993,-107.86902127,LEVEL III
1010,MT SAN RAFAEL HOSPITAL,410 BENEDICTA AVE,TRINIDAD,CO,81082,(719) 846-9213,GENERAL ACUTE CARE,OPEN,37.1732064,-104.48761163,LEVEL IV
1011,NATIONAL JEWISH HEALTH,1400 JACKSON ST,DENVER,CO,80206,(303) 388-4461,SPECIAL,OPEN,39.7391367700001,-104.94205727,NOT AVAILABLE
1012,NORTH COLORADO MEDICAL CENTER,1801 16TH ST,GREELEY,CO,80631,(970) 810-4121,GENERAL ACUTE CARE,OPEN,40.4145676200001,-104.70857763,LEVEL II
1013,NORTH SUBURBAN MEDICAL CENTER,9191 GRANT ST,THORNTON,CO,80229,(303) 451-7800,GENERAL ACUTE CARE,OPEN,39.8633858800001,-104.98530648,LEVEL II
1014,NORTHERN COLORADO LONG TERM ACUTE HOSP - LONG TERM,4401A UNION ST,JOHNSTOWN,CO,80534,(970) 619-3663,LONG TERM CARE,OPEN,40.4064759500001,-104.97130148,NOT AVAILABLE
1015,NORTHERN COLORADO REHABILITATION HOSPITAL,4401 UNION ST,JOHNSTOWN,CO,80534,(970) 619-3400,REHABILITATION,OPEN,40.406238,-104.971311,NOT AVAILABLE
1016,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,11650 W 2ND PL,LAKEWOOD,CO,80228,(720) 321-5000,GENERAL ACUTE CARE,OPEN,39.71620404,-105.12986705,NOT AVAILABLE
1017,PAGOSA SPRINGS MEDICAL CENTER,95 S PAGOSA BLVD,PAGOSA SPRINGS,CO,81147,(970) 731-3700,GENERAL ACUTE CARE,OPEN,37.2521482500001,-107.07831196,LEVEL IV
1018,PAM REHABILITATION HOSPITAL OF GOLDEN,600 GOLDEN RIDGE RD,GOLDEN,CO,80401,(717) 963-8695,REHABILITATION,OPEN,39.7272616000001,-105.2046261,NOT AVAILABLE
1019,PAM SPECIALTY HOSPITAL OF DENVER,1690 N MEADE ST,DENVER,CO,80204,(303) 264-6900,GENERAL ACUTE CARE,OPEN,39.74359911,-105.0349823,NOT AVAILABLE
1020,PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,PARKER,CO,80138,(303) 269-4000,GENERAL ACUTE CARE,OPEN,39.54820081,-104.77102407,LEVEL II
1021,PARKVIEW MEDICAL CENTER - PUEBLO WEST,899 E INDUSTRIAL BLVD,PUEBLO,CO,81007,(719) 584-4000,GENERAL ACUTE CARE,OPEN,38.3285812,-104.7016949,NOT AVAILABLE
1022,PARKVIEW MEDICAL CENTER INC,400 W 16TH ST,PUEBLO,CO,81003,(719) 584-4000,GENERAL ACUTE CARE,OPEN,38.2816371800001,-104.61273633,LEVEL II
1023,PEAK VIEW BEHAVIORAL HEALTH,7353 SISTERS GROVE,COLORADO SPRINGS,CO,80923,(719) 444-8484,PSYCHIATRIC,OPEN,38.9374869800001,-104.71296913,NOT AVAILABLE
1024,PIONEERS MEDICAL CENTER,100 PIONEERS MEDICAL CENTER DR,MEEKER,CO,81641,(970) 878-5047,CRITICAL ACCESS,OPEN,40.04640332,-107.88126343,LEVEL IV
1025,PLATTE VALLEY MEDICAL CENTER,1600 PRAIRIE CENTER PKWY,BRIGHTON,CO,80601,(303) 498-1600,GENERAL ACUTE CARE,OPEN,39.9647248800001,-104.76919683,LEVEL III
1026,POUDRE VALLEY HOSPITAL,1024 S LEMAY AVE,FORT COLLINS,CO,80524,(970) 495-7000,GENERAL ACUTE CARE,OPEN,40.5717845300001,-105.05691757,LEVEL III
1027,PRESBYTERIAN ST LUKE'S MEDICAL CENTER,1719 E 19TH AVE,DENVER,CO,80218,(303) 839-6000,GENERAL ACUTE CARE,OPEN,39.7472209900001,-104.96678851,LEVEL IV
1028,PROWERS MEDICAL CENTER,401 KENDALL DR,LAMAR,CO,81052,(719) 336-4343,GENERAL ACUTE CARE,OPEN,38.07060898,-102.61012319,NOT AVAILABLE
1029,RANGELY DISTRICT HOSPITAL,225 EAGLE CREST DR,RANGELY,CO,81648,(970) 675-5011,GENERAL ACUTE CARE,OPEN,40.07878915,-108.80686095,LEVEL IV
1030,REUNION REHABILITATION HOSPITAL DENVER,4650 CENTRAL PARK BLVD,DENVER,CO,80238,(720) 734-3500,REHABILITATION,OPEN,39.7814708400001,-104.88225139,NOT AVAILABLE
1031,"REUNION REHABILITATION HOSPITAL INVERNESS, LLC",372 INVERNESS DR S,ENGLEWOOD,CO,80112,(720) 741-8800,REHABILITATION,OPEN,39.5600552000001,-104.8636637,NOT AVAILABLE
1032,RIO GRANDE HOSPITAL,310 COUNTY ROAD 14,DEL NORTE,CO,81132,(719) 657-2510,GENERAL ACUTE CARE,OPEN,37.67431142,-106.36392683,LEVEL IV
1033,ROSE MEDICAL CENTER,4567 E 9TH AVE,DENVER,CO,80220,(303) 320-2121,GENERAL ACUTE CARE,OPEN,39.73197795,-104.93450914,LEVEL IV
1034,SAINT JOSEPH HOSPITAL,1375 E 19TH AVE,DENVER,CO,80218,(303) 812-2000,GENERAL ACUTE CARE,OPEN,39.7458780700001,-104.96992434,LEVEL III
1035,SAN LUIS VALLEY HEALTH,106 BLANCA AVE,ALAMOSA,CO,81101,(719) 587-1202,GENERAL ACUTE CARE,OPEN,37.472182,-105.88274238,LEVEL III
1036,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,19021 US HIGHWAY 285,LA JARA,CO,81140,(719) 274-5121,GENERAL ACUTE CARE,OPEN,37.2627940400001,-105.96553353,LEVEL IV
1037,SCL HEALTH COMMUNITY HOSPITAL - NORTHGLENN,11900 GRANT STREET,DENVER,CO,80233,(214) 808-7650,GENERAL ACUTE CARE,OPEN,39.91240745,-104.98407333,NOT AVAILABLE
1038,SEDGWICK COUNTY MEMORIAL HOSPITAL,900 CEDAR ST,JULESBURG,CO,80737,(970) 474-3323,GENERAL ACUTE CARE,OPEN,40.99391889,-102.26832422,LEVEL IV
1039,SKY RIDGE MEDICAL CENTER,10101 RIDGEGATE PKWY,LONE TREE,CO,80124,(720) 225-1000,GENERAL ACUTE CARE,OPEN,39.5290899600001,-104.8711824,LEVEL II
1040,SOUTHEAST COLORADO HOSPITAL,373 E 10TH AVE,SPRINGFIELD,CO,81073,(719) 523-4501,CRITICAL ACCESS,OPEN,37.40437038,-102.61228291,NOT AVAILABLE
1041,SOUTHWEST MEMORIAL HOSPITAL,1311 N MILDRED RD,CORTEZ,CO,81321,(970) 565-6666,CRITICAL ACCESS,OPEN,37.3622022000001,-108.57452494,LEVEL IV
1042,SPALDING REHABILITATION HOSPITAL,900 POTOMAC ST,AURORA,CO,80011,(303) 873-5511,REHABILITATION,OPEN,39.7310299600001,-104.82747275,NOT AVAILABLE
1043,SPALDING REHABILITATION HOSPITAL AT PSLMC,1719 E 19TH AVE,DENVER,CO,80218,(303) 839-6293,GENERAL ACUTE CARE,OPEN,39.74664992,-104.96798062,NOT AVAILABLE
1044,SPANISH PEAKS REGIONAL HEALTH CENTER,23500 US HWY 160,WALSENBURG,CO,81089,(719) 738-5100,CRITICAL ACCESS,OPEN,37.60051672,-104.83117802,LEVEL IV
1045,ST ANTHONY NORTH HEALTH CAMPUS,14300 ORCHARD PKWY,WESTMINSTER,CO,80023,(720) 627-0000,GENERAL ACUTE CARE,OPEN,39.95659556,-104.99114069,LEVEL III
1046,ST ANTHONY SUMMIT MEDICAL CENTER,340 PEAK ONE DR,FRISCO,CO,80443,(970) 668-3300,GENERAL ACUTE CARE,OPEN,39.56943684,-106.07795417,LEVEL III
1047,ST MARYS MEDICAL CENTER,2635 N 7TH ST,GRAND JUNCTION,CO,81501,(970) 298-1950,GENERAL ACUTE CARE,OPEN,39.0905071600001,-108.56357249,LEVEL II
1048,ST VINCENT GENERAL HOSPITAL DISTRICT,816 W 4TH ST,LEADVILLE,CO,80461,(719) 486-0230,GENERAL ACUTE CARE,OPEN,39.24499904,-106.30345296,NOT AVAILABLE
1049,STERLING REGIONAL MED CENTER,615 FAIRHURST ST,STERLING,CO,80751,(970) 522-0122,GENERAL ACUTE CARE,OPEN,40.6125290700001,-103.22075862,LEVEL III
1050,SWEDISH MEDICAL CENTER,501 E HAMPDEN AVE,ENGLEWOOD,CO,80113,(303) 788-5000,GENERAL ACUTE CARE,OPEN,39.65385659,-104.98054029,LEVEL I
1051,UCHEALTH BROOMFIELD HOSPITAL,11820 DESTINATION DR,BROOMFIELD,CO,80021,(303) 464-4500,GENERAL ACUTE CARE,OPEN,39.9105225700001,-105.091519,NOT AVAILABLE
1052,UCHEALTH GRANDVIEW HOSPITAL,5623 PULPIT PEAK VIEW,COLORADO SPRINGS,CO,80918,(719) 272-3600,GENERAL ACUTE CARE,OPEN,38.9108641400001,-104.81688024,NOT AVAILABLE
1053,UCHEALTH GREELEY HOSPITAL,6767 W 29TH ST,GREELEY,CO,80634,(970) 652-2000,GENERAL ACUTE CARE,OPEN,40.3909429600001,-104.79053651,LEVEL III
1054,UCHEALTH HIGHLANDS RANCH HOSPITAL,1500 PARK CENTRAL DR,HIGHLANDS RANCH,CO,80129,(720) 516-1000,GENERAL ACUTE CARE,OPEN,39.5524962900001,-105.00561838,LEVEL III
1055,UCHEALTH PIKES PEAK REGIONAL HOSPITAL,16420 W US HIGHWAY 24,WOODLAND PARK,CO,80863,(719) 687-9999,GENERAL ACUTE CARE,OPEN,38.9743439600001,-105.07371201,LEVEL IV
1056,UCHEALTH YAMPA VALLEY MEDICAL CENTER,1024 CENTRAL PARK DR,STEAMBOAT SPRINGS,CO,80487,(970) 879-1322,GENERAL ACUTE CARE,OPEN,40.4632064200001,-106.81485813,LEVEL III
1057,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,1400 E BOULDER ST,COLORADO SPRINGS,CO,80909,(719) 365-5000,GENERAL ACUTE CARE,OPEN,38.8394666300001,-104.79945361,LEVEL I
1058,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL NORTH,4050 BRIARGATE PKWY,COLORADO SPRINGS,CO,80920,(719) 364-5000,GENERAL ACUTE CARE,OPEN,38.96684595,-104.75473269,LEVEL III
1059,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,12605 EAST 16TH AVENUE,AURORA,CO,80045,(720) 848-7800,SPECIAL,OPEN,39.7423045,-104.84112208,LEVEL I
1060,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,12605 E 16TH AVE,AURORA,CO,80045,(720) 848-0000,GENERAL ACUTE CARE,OPEN,39.7426294000001,-104.8420288,LEVEL I
1061,VA HOSPITAL,30999 CO RD 15,LAS ANIMAS,CO,81054,NOT AVAILABLE,MILITARY,OPEN,38.07475319,-103.1314526,NOT AVAILABLE
1062,VA HOSPITAL,1055 CLERMONT ST,DENVER,CO,80220,NOT AVAILABLE,MILITARY,OPEN,39.7320120100001,-104.93648196,NOT AVAILABLE
1063,VAIL CLINIC,"180 S FRONTAGE RD W, PO BOX 36",VAIL,CO,81657,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,39.64366971,-106.381464,NOT AVAILABLE
1064,VAIL HEALTH HOSPITAL,181 W MEADOW DR,VAIL,CO,81657,(970) 476-2451,GENERAL ACUTE CARE,OPEN,39.64337027,-106.38198523,LEVEL III
1065,VALLEY VIEW HOSPITAL ASSOCIATION,1906 BLAKE AVE,GLENWOOD SPRINGS,CO,81601,(970) 945-6535,GENERAL ACUTE CARE,OPEN,39.5323214800001,-107.32210539,LEVEL III
