Service,Lower Bound,Upper Bound
Menopause Support Group,10,30
Pediatric Growth Assessment,10,30
Speech Training for Stuttering,20,50
Bone Density Screening for Post-Menopausal Women,20,50
Addiction Management Program,20,60
Chronic Obstructive Pulmonary Disease (COPD) Self-Management,20,50
Post-Surgery Pain Management for Joints,20,50
Counseling for Fertility Issues,20,60
Obesity Management Counseling,20,50
Family Health History Assessment,20,50
Respiratory Therapy for Sleep Apnea,20,50
Personalized Weight Loss Coaching,20,50
Physical Activity Coaching for Seniors,10,30
Cardiac Rehabilitation for Young Adults,20,60
Neurological Monitoring for Dementia,20,60
Guided Therapy for Bipolar Disorder,30,70
Elderly Medication Safety Check,10,30
Acupuncture for Chemotherapy Relief,30,60
Speech Improvement for Vocal Cord Paralysis,30,70
Vision Assessment for Driving,10,30
Heart Health Risk Assessment,20,50
Memory Care Support Group,0,20
Recovery Program for Heart Attack Patients,30,80
Post-Hospitalization Follow-Up for Seniors,20,60
Childhood Behavioral Screening,10,30
Nutrition Counseling for Gluten-Free Lifestyle,20,50
In-Home Nursing for Post-Op Recovery,40,90
Chronic Disease Management for Asthma,20,50
Sleep Apnea Education for Families,10,30
Obstetric Care Plan for At-Risk Pregnancy,30,80
Personalized Diet Plan for Thyroid Health,20,50
Chronic Pain Telemedicine Follow-Up,10,30
Advanced Diabetes Monitoring Program,20,50
Osteoporosis Counseling for Risk Reduction,20,50
Mental Health Counseling for PTSD,20,50
Oncology Social Work Support,10,30
Child Development Therapy for Delayed Milestones,20,60
Advanced Physical Therapy for Joint Replacement,30,80
Neurology Monitoring for MS Progression,20,50
Weight Management for Diabetic Patients,20,50
Post-Trauma Pain Management,30,60
Nutrition Counseling for High Blood Sugar,20,50
Endocrinology Consultation for Hormone Imbalance,20,60
Cardiology Screening for Senior Men,20,50
Health Monitoring for Post-COVID Recovery,20,50
Telemedicine for Diet Coaching,10,30
Cognitive Behavioral Therapy for Teenagers,20,50
Mobility Therapy for Parkinson's Disease,30,70
Custom Sleep Management Program,10,30
Vaccination Counseling for Pregnant Women,0,20
Skin Health Assessment for Eczema,10,30
Nutritional Education for Elderly,10,30
Tailored Therapy for ADHD in Adults,20,50
Support Group for ADHD Parents,0,20
Community Health Education for Youth,10,30
Chronic Pain Coping Skills Training,20,50
Eye Therapy for Computer Vision Syndrome,20,50
Neonatal Nutritional Support,20,50
Smoking Cessation Therapy for Youth,10,30
Ongoing Monitoring for Kidney Disease,20,60
Dietary Support for Cancer Treatment,20,50
Wellness Screening for Students,10,30
Teleconsultation for Weight Loss,10,30
Telemonitoring for Depression Symptoms,20,50
Asthma Management Program for Young Adults,20,50
General Wellness Counseling for Parents,10,30
Teletherapy for Mood Disorders,10,30
Bariatric Surgery Nutritional Counseling,30,70
Eye Health Screening for Macular Degeneration,20,50
In-Office Support for GERD Management,20,50
Advanced Exercise Program for Seniors,20,50
Cervical Cancer Prevention Counseling,10,30
Headache Management for Migraine Sufferers,20,50
Chronic Pain Therapy for Veterans,20,60
Post-Surgery Physical Therapy for Seniors,20,50
Home-Based Diet Coaching,10,30
Care Coordination for Chronic Illness,20,50
Nutritional Coaching for Low Blood Pressure,10,30
Bone Strength Training for Seniors,10,30
Customized Vision Therapy for Children,20,50
Health Screening for Pre-Diabetics,20,50
Pre-Operative Health Assessment,20,50
Screening for Heart Murmurs,20,50
Behavioral Coaching for Tobacco Cessation,20,50
Post-Op Nutritional Support for Surgery Patients,20,60
Ongoing Monitoring for Autoimmune Disorders,30,70
Behavioral Health Coaching for Weight Management,20,60
Diet and Wellness Plan for Crohn's Disease,20,50
Mobility Training for Amputees,30,80
Postpartum Weight Loss Program,20,50
Advanced Eye Care for Seniors,20,60
Men’s Sexual Health Counseling,20,50
In-Office Blood Sugar Testing,10,30
Cardiac Screening for High-Risk Patients,30,70
Pain Management Program for Chronic Illness,20,60
Telehealth for Managing Digestive Disorders,20,50
Stress Reduction Program for Seniors,10,30
Telemonitoring for Chronic Heart Failure,20,60
Weight Loss Program for Post-Menopausal Women,20,50
Counseling for Post-Traumatic Stress Disorder,20,60
Pelvic Health Screening for Seniors,20,50
Nutritional Support for Vegetarians,10,30
Childhood Obesity Counseling,20,60
Low Vision Therapy for Children,20,50
Nutrition Education for Cardiovascular Health,20,50
High-Risk Pregnancy Monitoring,30,80
Family Nutrition Planning,20,50
Telecare for Behavioral Health,20,50
Tailored Stress Management for Athletes,20,50
Chronic Pain Counseling for Fibromyalgia,20,60
Postpartum Recovery Counseling,20,50
Health Assessment for Occupational Hazards,30,60
High Blood Pressure Monitoring at Home,10,30
Virtual Check-Ups for Senior Health,10,30
Dietary Support for Celiac Disease,20,50
In-Office Laser Treatment for Skin Lesions,30,80
Self-Care Coaching for Chronic Illness,20,50
Telemedicine Consultation for Back Pain,20,50
Customized Fitness for Osteoporosis,20,60
Teleconsultation for Thyroid Disorders,10,30
Post-Surgery Support for Cancer Patients,30,70
Family Therapy for Adolescents,20,50
Personalized Wellness Planning for Busy Professionals,20,50
Eye Strain Management for Computer Users,10,30
Pediatric Obesity Prevention Counseling,10,30
Home-Based Physical Therapy for Chronic Pain,20,60
Pain Relief Management for Chronic Migraines,20,60
Screening for Hormonal Imbalance in Youth,10,30
Medication Management for Heart Failure,20,60
Dental Screening for Gum Health,10,30
Sports Physical Exam for Student Athletes,10,30
Childhood Immunization Counseling,10,30
Nutritional Support for Pre-Operative Patients,20,60
Self-Care Education for Cancer Patients,20,50
Post-Transplant Health Monitoring,30,70
Supportive Therapy for Speech Impediments,20,50
Screening for Glaucoma in High-Risk Individuals,20,50
Bone Health Counseling for Young Women,10,30
Virtual Health Coaching for Chronic Illness,20,50
Injury Prevention for Child Athletes,10,30
Health Evaluation for Hormone Replacement Therapy,20,60
Youth Mental Health Wellness Screening,10,30
Workplace Ergonomics Assessment,20,50
Advanced Counseling for Bipolar Disorder,20,50
Self-Monitoring Education for Asthma Patients,10,30
High-Intensity Therapy for OCD,30,70
Diabetes Prevention Education,10,30
Physical Fitness Planning for Seniors,10,30
Customized Care Plan for Dementia,20,50
Post-Op Care for Bariatric Surgery Patients,30,80
Home-Based Stroke Rehabilitation,20,60
Diet Planning for Athletes with Celiac Disease,20,50
Pain Management Program for Palliative Care,20,50
Health Screening for College Students,10,30
Physical Therapy for Back Pain,20,50
Support Group for Grieving Families,0,20
Cognitive Therapy for Mild Dementia,20,50
Nutrition Plan for Lowering Cholesterol,20,50
High-Risk Health Management for Chronic Smokers,20,60
Annual Wellness Check for Working Adults,20,50
Blood Sugar Management for Young Adults,10,30
Skin Cancer Check-Up for Outdoor Workers,20,50
Postpartum Physical Therapy for Diastasis Recti,20,50
Occupational Health Screening for Travel Workers,20,50
Home Exercise Program for Arthritis,10,30
Health Counseling for the Elderly,10,30
Family Health and Wellness Planning,20,50
Customized Counseling for Chronic Pain,20,50
Physical Conditioning Program for Soldiers,20,50
Behavioral Health Coaching for Veterans,20,60
Physical Exam for Patients with Chronic Pain,20,50
Exercise Coaching for Senior Mobility,10,30
Dermatology Screening for High-Risk Skin Cancer Patients,20,50
Cardiac Risk Assessment for Overweight Patients,20,50
Annual Wellness Exam for Pre-Diabetics,20,50
Home-Based Exercise Program for Diabetes,10,30
Sleep Apnea Therapy Education,10,30
Injury Prevention for Senior Athletes,10,30
Post-Surgery Respiratory Therapy,20,50
Virtual Exercise Support for Mobility Challenges,20,50
Nutritional Counseling for Anxiety Management,20,50
Behavioral Health Counseling for Cancer Patients,20,50
Telemedicine for Chronic Obesity,10,30
Pain Management Therapy for Migraine Sufferers,20,50
In-Home Health Check for Seniors,20,50
Palliative Counseling for Terminal Illness,20,50
Custom Diet Plan for Elderly Patients,10,30
Community-Based Exercise Program for Seniors,10,30
Workplace Stress Management Workshop,10,30
Sports Medicine Program for High School Students,20,50
Child Safety and Health Education,10,30
Stress Management Counseling for Executives,20,50
Telehealth Screening for Occupational Health,20,50
Pediatric Bone Density Screening,20,50
Men's Health and Nutrition Counseling,20,50
Post-Cancer Health Maintenance Program,20,50
Women's Health Counseling for Menopause,20,50
Fall Prevention Program for Elderly,20,50
Cognitive Behavioral Therapy for Youth Depression,20,50
Mental Health Monitoring for Long-Term Care Residents,20,50
Cancer Screening for High-Risk Populations,20,50
In-Home Therapy for Chronic Respiratory Illness,20,50
Wellness Coaching for Cardiovascular Risk,10,30
Therapeutic Support for Chronic Pain Patients,20,50
Home Health Monitoring for Heart Patients,20,50
Advanced Cancer Counseling and Care Planning,30,80
Physical Therapy for Occupational Injuries,20,50
Childhood Development Screening for Special Needs,10,30
Speech Therapy for Developmental Delays,20,50
Sleep Counseling for Parents of Infants,10,30
Ongoing Counseling for Chronic Depression,20,50
Wellness Education for Pre-Teens,10,30
Advanced Rehabilitation for Joint Pain,20,50
Virtual Wellness Check for Isolated Seniors,10,30
Blood Pressure and Heart Rate Monitoring at Home,10,30
Emotional Support Program for End-of-Life Care,20,50
Family Education for Chronic Illness Management,10,30
Occupational Safety Training for Physical Laborers,10,30
Pain Management for Advanced Cancer,20,50
Custom Diet Plan for Athletes with Food Allergies,10,30
Childhood Trauma Counseling,20,50
Personalized Exercise for Back Pain Relief,20,50
Virtual Health Counseling for Busy Professionals,10,30
High-Intensity Pain Management Therapy,30,80
Behavioral Health Screening for School Children,10,30
Family Support Program for Dementia Care,10,30
Senior Wellness Assessment,10,30
Community Outreach Health Education,10,30
Diabetes Care Program for Underserved Populations,10,30
Cardiac Rehabilitation for Youth Athletes,20,50
Therapeutic Counseling for Grief and Loss,20,50
Tailored Exercise Therapy for Post-Trauma Recovery,20,50
Personalized Pain Management for Chronic Migraines,20,50
Wellness Check-Up for Family Members of Cancer Patients,10,30
Pediatric Health Education Program,10,30
Diet and Exercise Counseling for Bone Health,20,50
Senior Exercise Program for Bone Health,20,50
Advanced Cardiac Monitoring for Post-Surgery Recovery,30,80
Behavioral Counseling for Seniors with Mobility Issues,20,50
Weight Loss Program for Bariatric Patients,20,50
In-Office Exam for Mild Hearing Loss,10,30
Asthma Support Group for Families,0,20
Remote Health Check for Isolated Seniors,10,30
Custom Nutritional Program for Seniors,10,30
Telehealth for Sleep Disorder Management,10,30
Social Skills Training for Teens with Autism,20,50
Behavioral Therapy for Childhood Behavioral Issues,20,50
Cancer Care Counseling for Survivors,20,50
Pediatric Nutrition Program for Malnourishment,20,50
Mental Health Screening for Adolescents,10,30
Support Group for People with Chronic Illness,0,20
In-Office Nutrition Counseling for Diabetics,20,50
Nutritional Monitoring for Liver Disease Patients,20,50
General Health Screening for Young Adults,10,30
Community-Based Wellness Program for Youth,10,30
Personalized Diabetes Care Education,20,50
Health Education for At-Risk Youth,10,30
Tailored Mental Health Therapy for Trauma Survivors,20,50
Supportive Care for Families of Patients with Cancer,20,50
Weight Management for Teenagers,20,50
Cardiovascular Screening for Athletic Youth,20,50
Specialized Health Coaching for Autoimmune Disorders,20,50
Pediatric Preventative Dental Education,10,30
Emotional Support for Chronic Disease Patients,10,30
Health Screening for Childhood Anemia,10,30
In-Home Therapy for Memory Loss,20,50
Home Health Check-Up for Heart Monitoring,20,50
Telehealth Support for Weight Loss Maintenance,10,30
Exercise Guidance for Arthritic Seniors,10,30
Personalized Stress Management for Busy Parents,10,30
Post-Accident Mobility Training,20,50
Health Coaching for Families of Cancer Patients,10,30
Customized Therapy for Speech Delays,20,50
High Blood Pressure Care Plan,20,50
School Health Education Program,10,30
Cardiovascular Risk Reduction Counseling,10,30
Childhood Mental Health Workshop,10,30
Medication Therapy Management for Seniors,20,50
General Health Maintenance for Retirees,10,30
Lifestyle Change Counseling for Metabolic Syndrome,20,50
In-Office Counseling for Asthma Control,20,50
Nutrition Support for Pregnant Women,20,50
In-Office Blood Pressure Monitoring Program,20,50
